areal_mass_kg_m2,exhaust_m_s,specific_power_W_kg,closed,cant_deg,total_mass_kg,power_mass_fraction,fuel_buffer_fraction,energy_storage_mass_kg,propellant_kg_s,mean_power_W,peak_power_W,power_system_mass_kg,fuel_buffer_mass_kg,Gyr_propellant_kg
0.1,10000.0,50.0,True,45.0,17133396181686.473,0.34745290986136507,0.08266336165297973,0.0,2341772.6933044493,167269478093174.97,297652417956728.3,5953048359134.566,1416304124910.531,7.390072594622448e+22
0.1,10000.0,100.0,True,45.0,13130594383179.143,0.17372645493068253,0.08266336165297973,0.0,1794674.3918904131,128191027992172.38,228113161332244.47,2281131613322.445,1085419072215.3218,5.66356165895209e+22
0.1,10000.0,300.0,True,45.0,11361098011957.969,0.057908818310227504,0.08266336165297973,0.0,1552821.6827669158,110915834483351.12,197372328173748.28,657907760579.1609,939146553737.4307,4.900332553608522e+22
0.1,10000.0,1000.0,True,45.0,10849371502828.453,0.017372645493068252,0.08266336165297973,0.0,1482879.49776098,105919964125784.3,188482284941235.88,188482284941.23587,896845520245.8407,4.67961180385419e+22
0.1,30000.0,50.0,False,,,1.0423587295840953,0.027554453884326577,,,,,,,
0.1,30000.0,100.0,True,45.0,21636994088504.69,0.5211793647920476,0.027554453884326577,0.0,985773.0750779585,633711262550116.2,1127675483505616.2,11276754835056.162,596195555807.1493,3.1108632394080184e+22
0.1,30000.0,300.0,True,45.0,12224627914120.975,0.17372645493068253,0.027554453884326577,0.0,556949.3156625294,358038845783054.7,637122381110070.2,2123741270366.901,336842946112.6978,1.757598372395184e+22
0.1,30000.0,1000.0,True,45.0,10609313026584.299,0.05211793647920476,0.027554453884326577,0.0,483356.1946683239,310728982286779.7,552935502407520.1,552935502407.5201,292333826535.40234,1.5253561448865097e+22
0.1,50000.0,50.0,False,,,1.7372645493068253,0.016532672330595948,,,,,,,
0.1,50000.0,100.0,True,45.0,85026683414180.86,0.8686322746534126,0.016532672330595948,0.0,2324269.6697155577,4150481553063496.0,7385692142029552.0,73856921420295.52,1405718296243.9692,7.3348372529015685e+22
