case,shield,dry_pressure_pa,base,base_pressure_pa,base_temperature_k,deposited_heat_w_m2,heat_source,atomic_o_fraction_at_top,status,exobase_temperature_k,exobase_radius_R,molecular_loss_kg_s,jeans_lambda_N2,atomic_o_fraction_at_base,jeans_lambda_O,atomic_o_loss_mixed_kg_s,atomic_o_loss_eddy_kg_s,atomic_o_loss_separated_kg_s,atomic_o_fraction_at_exobase_eddy,atomic_o_fraction_at_exobase_separated,homopause_pa,flags
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere_top,0.1,169.6,0.0,swept,7.4441e-07,converged,169.60199959862322,2.0565019670650293,3.223021768946773e-07,27.2593760372213,7.4441e-07,15.569335267962499,1.5326562285024345e-08,3.2924159109389514e-07,1.13205816903336e-05,1.5991239801092628e-05,0.0005498398179176453,3.2982932183846604e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere_top,0.1,169.6,1e-06,swept,7.4441e-07,converged,183.85594619785533,2.128939907880173,5.409539933031486e-06,24.29041444842808,7.4441e-07,13.873597320384148,7.202479860175034e-08,1.680958648790209e-06,5.485561108487076e-05,1.7373494296942188e-05,0.0005669584121085799,3.761306719064043e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere_top,0.1,169.6,3e-06,swept,7.4441e-07,converged,212.7953572478207,2.2963849981582607,0.0005152618143682977,19.45669893373564,7.4441e-07,11.112795410045557,8.621228383501503e-07,2.362540189820176e-05,0.0007021501209813257,2.0399628271879087e-05,0.0006062796950837992,4.612995258118346e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere_top,0.1,169.6,1e-05,swept,7.4441e-07,converged,313.38605906692794,3.2783722496841303,6.039112550825212,9.254182720602945,7.4441e-07,5.285574886648785,0.00012512402555861195,0.005981483048930304,0.13968096949685355,3.5586097686478584e-05,0.0008310147474790551,7.994718194733185e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,10.0,178.55,0.0,swept,7.4441e-07,converged,178.55087435083212,2.1777010018146092,4.698850126278879e-06,24.452078200207104,3.7192226334095807e-08,13.965932418175358,3.350170649547916e-09,7.90245420459772e-08,2.000600830452457e-05,8.772981919947472e-07,0.00022209853369830137,3.6628656910562184e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,10.0,178.55,1e-06,swept,7.4441e-07,converged,197.3528208435534,2.324986616189253,0.0001600203431895175,20.72107166014403,3.7192226334095807e-08,11.83494850901013,2.3019250059541016e-08,6.183378586158759e-07,0.00014566564625696868,9.990491231946042e-07,0.00023535213661081094,4.314048186305125e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,10.0,178.55,3e-06,swept,7.4441e-07,converged,235.7758938266489,2.7127718903728777,0.03800940079788698,14.864945853583452,3.7192226334095807e-08,8.490191610348448,4.415231084860268e-07,1.5433037634856212e-05,0.0032029689082395153,1.300020356140332e-06,0.0002698059111442541,5.730605166859823e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,10.0,178.55,1e-05,swept,7.4441e-07,converged,306.4664394246082,4.445995229164249,47.41095835493343,6.977889586625924,3.7192226334095807e-08,3.9854581516707994,1.8400216901802956e-05,0.0012266861594838687,0.2067512436241468,2.479491928160715e-06,0.0004179048045336676,9.069042819837746e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED EARTH_TIDES_REQUIRE_REVIEW
moon_1.2atm_edge_310nm,edge_310nm,121590.0,baseline_180K,0.1,180.0,0.0,swept,7.4441e-07,converged,179.99999145900597,2.1989298638585146,7.083150651170422e-06,24.021058792959085,7.4441e-07,13.71975342826452,8.40199913825785e-08,2.0077600458035987e-06,6.585113129668085e-05,1.7788583777533695e-05,0.0005834354400889229,3.7044430137078414e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,baseline_180K,0.1,180.0,1e-06,swept,7.4441e-07,converged,194.3880545977243,2.2845377516748324,8.345555595783384e-05,21.409577435947558,7.4441e-07,12.228192185709727,3.2289466353594716e-07,8.383833495089202e-06,0.00026177721995665167,1.9328314143490188e-05,0.000603508209686583,4.13995868754804e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
