key,sweep,scenario,planet,dry_pressure_pa,co2_ppm,humidity,stratosphere_k,surface_albedo,ts_k,surface_pressure_pa,olr,asr,albedo,net_toa,surface_down_lw,surface_up_lw,surface_sw,atmosphere_sw,sw_longward_of_grid,water_column_kg_m2,air_column_kg_m2,tropopause_pa,tropopause_height_km,stratospheric_h2o,seconds
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=370,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,370.0,191860.51115456905,298.39368764706,295.8756218768334,0.1304241589989387,-2.518065770226599,1059.5763035896634,1059.8094280106604,97.5341534375873,198.3414684392461,1.8484741163702294,6520.63308369323,19611.96744984636,1.0,109.73124666917347,0.1670279600464626,83.7
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=250,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,250.0,101401.01266951025,160.57397852484644,242.56676518471085,0.28709841825965793,81.99278665986441,152.9414313834089,221.49233757285802,195.80627458208505,46.760490602625794,1.8484741163702294,4.365412218562196,65350.89672532865,45552.36051953372,32.33216712575326,3.5696050858163486e-06,66.0
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=270,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,270.0,101795.0618775738,190.28537711415598,246.21324406893905,0.27638144900639067,55.92786695478307,242.55019805591684,301.32071748151236,174.5342242429341,71.67901982600495,1.8484741163702294,35.684506475537304,65799.18349669351,31865.579881632508,49.73002299640177,5.102805392749478e-06,62.8
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=290,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,290.0,103244.87719484796,208.48653895939086,251.082887688283,0.2620696093934969,42.59634872889214,390.1204921995847,400.9687230215511,146.34494791092075,104.73793977736224,1.8484741163702294,239.5625027587062,67047.03320982977,18848.416339437186,78.25890139519181,8.626922988112294e-06,61.6
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=300,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,300.0,104861.71758650494,213.9940434326172,253.92266783422974,0.25372352061130676,39.92862440161255,456.46236664030675,459.1529956907947,130.0236176513954,123.89905018283434,1.8484741163702294,577.2864472537102,68318.38257131854,12549.06754302467,102.1539951382395,1.295744202475037e-05,72.8
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=310,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,310.0,107556.20363976824,220.3685573357633,256.8226199711921,0.24520058687866012,36.45406263542881,522.3365355001071,523.4270438748114,113.45371113231468,143.36890883887745,1.8484741163702294,1314.9333250789005,70343.52140948873,7008.203084954053,138.31025125569792,2.320192709728034e-05,69.7
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=320,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,320.0,111871.38438688908,227.54949497194727,259.5750654273497,0.2371111739788567,32.02557045540246,593.6774405400671,594.1899045167534,97.71996511639738,161.85510031095237,1.8484741163702294,2781.355447570313,73475.22876257215,2996.3384594818776,194.21132914778008,5.426756816543069e-05,71.4
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=330,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,330.0,118538.97117053081,234.6646642508607,261.8169233023845,0.23052237347301527,27.1522590515238,671.5818888320332,671.8488378672923,82.83707542982975,178.97984787255476,1.8484741163702294,5423.340472136443,78200.96750277323,863.481610597699,281.746136394469,0.0001883120689452991,63.6
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=340,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,340.0,128514.00308877362,239.0347669521009,263.2500992234237,0.22631028209172893,24.215332271322808,756.6672189246135,756.8181474228612,68.95343074029495,194.29666848312877,1.8484741163702294,9811.0708723282,85186.67511428373,143.89663237767917,419.3822719595026,0.0011300049098352525,60.7
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=350,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,350.0,143008.06781166705,239.38362103886902,263.81843872802585,0.22463993730443776,24.43481768915683,849.4269651752,849.517894857366,56.38979944020198,207.42863928782387,1.8484741163702294,16717.60020926705,95301.23234056492,14.533593444574652,623.4012334627002,0.011188149051053569,55.9
