layout,water_fraction,participating_atmosphere,olr_at_273_w_m2,olr_slope_w_m2_k,heat_transport_w_m2_k,water_depth_m,global_mean_K,minimum_K,maximum_K,grid_time_fraction_273_313,freezing_flag,radiative_extrapolation_flag,max_discrete_energy_residual_W_m2,periodic_residual_K,quadrature_normalization,status,land_min_K,land_max_K,water_min_K,water_max_K
distributed,0.5,0.1,180.0,2.0,0.3,10.0,290.32875000000007,266.9051560601041,322.29946828565386,0.7759259259259259,True,False,3.00912806636918e-11,3.866012083069731e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,266.9051560601041,322.29946828565386,270.04301295443946,307.6500163802681
distributed,0.5,0.1,180.0,2.0,1.0,10.0,290.32875000000007,277.87534687749314,309.42399223335485,1.0,False,False,2.8556044960553063e-11,5.029893739431456e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,277.87534687749314,309.42399223335485,278.76114296835476,301.87089320534596
distributed,0.5,0.1,200.0,2.0,0.3,10.0,280.32875000000007,256.9051560601042,312.2994682856536,0.6435185185185185,True,False,1.1571341044654418e-11,3.04625701552089e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,256.9051560601042,312.2994682856536,260.0430129544395,297.6500163802679
distributed,0.5,0.1,200.0,2.0,1.0,10.0,280.32874999999996,267.87534687749326,299.4239922333547,0.7930555555555555,True,False,1.0394714124264976e-11,1.3967439542158249e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,267.87534687749326,299.4239922333547,268.7611429683549,291.87089320534574
distributed,0.5,0.1,220.0,2.0,0.3,10.0,270.32874999999996,246.90515606010408,302.2994682856536,0.4775462962962963,True,False,8.413094219732992e-12,4.619928971558958e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,246.90515606010408,302.2994682856536,250.04301295443935,287.6500163802679
distributed,0.5,0.1,220.0,2.0,1.0,10.0,270.32874999999996,257.8753468774932,289.4239922333546,0.36203703703703705,True,False,5.246762816778571e-12,1.4690158091124534e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,257.8753468774932,289.4239922333546,258.7611429683549,281.87089320534574
distributed,0.5,1.0,180.0,2.0,0.3,10.0,290.32874999999984,271.6983941556429,306.09939855290804,0.8157407407407408,True,False,5.825823926557753e-11,6.992516630709611e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,271.6983941556429,306.09939855290804,272.12097495677733,305.2475073523976
distributed,0.5,1.0,180.0,2.0,1.0,10.0,290.32875000000064,280.90135985674215,299.116168561032,1.0,False,False,7.538397415382953e-11,5.855355618149596e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,280.90135985674215,299.116168561032,281.16615593561744,298.27835050296835
distributed,0.5,1.0,200.0,2.0,0.3,10.0,280.32874999999996,261.69839415564303,296.0993985529081,0.6666666666666666,True,False,3.606777289292479e-11,3.6305978405986145e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,261.69839415564303,296.0993985529081,262.12097495677745,295.2475073523975
distributed,0.5,1.0,200.0,2.0,1.0,10.0,280.32875000000024,270.90135985674186,289.1161685610316,0.6925925925925925,True,False,3.9492890997082216e-11,4.593198392884169e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,270.90135985674186,289.1161685610316,271.16615593561716,288.27835050296795
