layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
49,118.907,293.052,223.262,3.49318e-07,1.053,-1.05679,0.883431,18.5377,20.4164,2.75822e-09,4.53729e-16,6.30932e-07,8.94208e-15,4.81484e-11,7.31681e-12,3.90117e-13,4.1036e-07,5.60751e-08,5.95956e-10,6.77187e-15,2.35186e-16,3.64642e-11,2.8027e-07,5.43232e-12,0.00100038,0.00725725
50,103.35,300.713,225.64,3.49318e-07,1.16212,-1.16768,0.989739,20.1328,19.3303,4.19023e-09,5.96511e-16,6.19549e-07,1.64871e-14,5.00163e-11,9.46251e-12,4.41315e-13,4.0571e-07,5.92186e-08,5.48624e-10,7.07963e-15,1.61218e-16,2.37768e-11,2.7752e-07,6.68813e-12,0.00114649,0.00727067
51,89.829,308.509,227.731,3.49318e-07,1.27093,-1.27794,1.09556,21.6016,18.26,6.27662e-09,7.73208e-16,6.05815e-07,2.99464e-14,5.20453e-11,1.19703e-11,5.12793e-13,4.0125e-07,6.23171e-08,4.93943e-10,7.17001e-15,1.04781e-16,1.52048e-11,2.74806e-07,8.05782e-12,0.00130358,0.00728261
52,78.0767,316.432,229.516,3.49318e-07,1.37641,-1.38402,1.19787,22.8835,17.2999,9.263e-09,9.88009e-16,5.90306e-07,5.36765e-14,5.43952e-11,1.4794e-11,5.96427e-13,3.97013e-07,6.53326e-08,4.35274e-10,7.02924e-15,6.46824e-17,9.59402e-12,2.72159e-07,9.51804e-12,0.00146931,0.00729306
53,67.862,324.474,230.992,3.49318e-07,1.47479,-1.48187,1.29279,23.9496,16.4665,1.34539e-08,1.24379e-15,5.7305e-07,9.49207e-14,5.71513e-11,1.78566e-11,6.82138e-13,3.93031e-07,6.82296e-08,3.75745e-10,6.66564e-15,3.79814e-17,5.99883e-12,2.69607e-07,1.10423e-11,0.00164102,0.00730208
54,58.9836,332.626,232.147,3.49318e-07,1.56156,-1.56677,1.3758,24.7548,15.7769,1.92024e-08,1.54109e-15,5.53816e-07,1.65232e-13,6.03214e-11,2.10594e-11,7.60082e-13,3.89332e-07,7.0975e-08,3.18029e-10,6.10928e-15,2.12483e-17,3.72701e-12,2.67178e-07,1.26013e-11,0.00181568,0.00730966
55,51.2668,340.877,232.945,3.49318e-07,1.6323,-1.6346,1.44241,25.2633,15.1838,2.688e-08,1.8772e-15,5.32372e-07,2.82013e-13,6.38412e-11,2.42942e-11,8.22595e-13,3.85938e-07,7.35411e-08,2.64211e-10,5.4092e-15,1.13515e-17,2.30447e-12,2.64895e-07,1.41638e-11,0.00199,0.00731575
56,44.5596,349.216,233.391,3.49318e-07,1.68226,-1.68111,1.48787,25.4477,14.6893,3.68481e-08,2.24513e-15,5.08343e-07,4.70152e-13,6.75836e-11,2.74577e-11,8.64897e-13,3.82864e-07,7.59049e-08,2.15887e-10,4.629e-15,5.81073e-18,1.41937e-12,2.62777e-07,1.56974e-11,0.00216054,0.00732039
57,38.7298,357.633,233.503,3.49318e-07,1.70767,-1.70325,1.50843,25.3074,14.3351,4.94158e-08,2.63381e-15,4.81573e-07,7.63171e-13,7.13869e-11,3.0459e-11,8.85298e-13,3.80116e-07,7.80524e-08,1.73965e-10,3.83464e-15,2.86332e-18,8.71336e-13,2.60836e-07,1.71701e-11,0.00232385,0.00732366
58,33.6628,366.116,233.287,3.49318e-07,1.70735,-1.70037,1.5029,24.8738,14.1291,6.48083e-08,3.03018e-15,4.52435e-07,1.20365e-12,7.50906e-11,3.32284e-11,8.85018e-13,3.77692e-07,7.99773e-08,1.38653e-10,3.08346e-15,1.36665e-18,5.33732e-13,2.5908e-07,1.85528e-11,0.00247672,0.0073256
59,29.2587,374.654,232.722,3.49318e-07,1.68331,-1.67478,1.47318,24.2004,14.0425,8.31496e-08,3.4217e-15,4.2178e-07,1.84278e-12,7.85618e-11,3.57217e-11,8.6741e-13,3.75581e-07,8.16812e-08,1.09617e-10,2.41581e-15,6.36492e-19,3.26751e-13,2.57507e-07,1.98227e-11,0.00261652,0.0073262
60,25.4308,383.234,231.836,3.49318e-07,1.63892,-1.62984,1.42262,23.3431,14.0487,1.04519e-07,3.79745e-15,3.90415e-07,2.74191e-12,8.17053e-11,3.792e-11,8.36363e-13,3.73764e-07,8.31717e-08,8.62274e-11,1.85243e-15,2.9138e-19,2.00302e-13,2.56114e-07,2.09649e-11,0.00274156,0.00732556
61,22.1037,391.846,230.693,3.49318e-07,1.57822,-1.56937,1.35522,22.3573,14.1808,1.29008e-07,4.14883e-15,3.59013e-07,3.97577e-12,8.44664e-11,3.98239e-11,7.95521e-13,3.72218e-07,8.44625e-08,6.76971e-11,1.39662e-15,1.31968e-19,1.23131e-13,2.54889e-07,2.19728e-11,0.00285111,0.00732389
62,19.2119,400.482,229.339,3.49318e-07,1.50605,-1.49798,1.2758,21.2984,14.4209,1.56729e-07,4.4709e-15,3.28271e-07,5.63506e-12,8.68294e-11,4.14484e-11,7.48316e-13,3.70914e-07,8.55708e-08,5.31786e-11,1.03985e-15,5.94833e-20,7.60213e-14,2.53821e-07,2.28471e-11,0.00294524,0.00732136
63,16.6984,409.132,227.794,3.49318e-07,1.42746,-1.42039,1.18934,20.2102,14.7235,1.87832e-07,4.76232e-15,2.98813e-07,7.83013e-12,8.88093e-11,4.28181e-11,6.97741e-13,3.69825e-07,8.65156e-08,4.18796e-11,7.67644e-16,2.6826e-20,4.72033e-14,2.52894e-07,2.35944e-11,0.00302472,0.00731807
64,14.5137,417.791,226.105,3.49318e-07,1.34637,-1.34054,1.09974,19.1219,15.0157,2.22582e-07,5.02364e-15,2.7099e-07,1.07018e-11,9.04368e-11,4.39619e-11,6.45923e-13,3.68922e-07,8.73161e-08,3.31228e-11,5.63853e-16,1.21549e-20,2.95097e-14,2.52093e-07,2.42255e-11,0.00309082,0.00731417
65,12.6149,426.454,224.358,3.49318e-07,1.26536,-1.26024,1.00949,18.0123,15.157,2.61447e-07,5.25564e-15,2.44877e-07,1.44406e-11,9.17486e-11,4.49082e-11,5.941e-13,3.68179e-07,8.79915e-08,2.6351e-11,4.13213e-16,5.54594e-21,1.85792e-14,2.51402e-07,2.47531e-11,0.00314512,0.00730995
