layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
37,637.59,215.694,207.781,4.40958e-07,0.403638,-0.403661,0.167421,6.79377,33.2108,4.00641e-11,7.67807e-18,1.6329e-06,1.69265e-18,3.14811e-12,7.60711e-13,1.03466e-13,4.63905e-07,1.0641e-08,1.21097e-09,9.54757e-15,2.89967e-14,7.07462e-10,2.32585e-07,9.53611e-13,3.895e-05,0.00690356
38,554.203,222.285,209.972,4.40958e-07,0.460667,-0.460658,0.198602,7.77141,30.8433,6.33893e-11,1.12304e-17,1.82919e-06,3.95545e-18,4.20056e-12,1.12307e-12,1.51961e-13,4.58561e-07,1.14852e-08,1.34635e-09,1.23187e-14,3.18008e-14,6.86563e-10,2.23927e-07,1.44284e-12,4.3528e-05,0.00692473
39,481.721,228.992,212.268,4.40958e-07,0.52301,-0.523031,0.234858,8.8481,28.6613,9.97067e-11,1.63921e-17,2.02799e-06,9.14817e-18,5.48721e-12,1.61024e-12,2.17414e-13,4.52886e-07,1.24015e-08,1.48207e-09,1.56059e-14,3.36677e-14,6.40478e-10,2.14713e-07,2.13297e-12,4.90222e-05,0.00694429
40,418.72,235.821,214.664,4.40958e-07,0.591297,-0.591279,0.276814,10.0371,26.615,1.55863e-10,2.38566e-17,2.22387e-06,2.07758e-17,6.99987e-12,2.23559e-12,3.00652e-13,4.4688e-07,1.33906e-08,1.6124e-09,1.93848e-14,3.42646e-14,5.72298e-10,2.04968e-07,3.08734e-12,5.56314e-05,0.00696242
41,363.957,242.777,217.16,4.40958e-07,0.664952,-0.66496,0.325208,11.3363,24.6888,2.42185e-10,3.45981e-17,2.41145e-06,4.61836e-17,8.72405e-12,3.00732e-12,4.00721e-13,4.4054e-07,1.44493e-08,1.73085e-09,2.35944e-14,3.34057e-14,4.89005e-10,1.94733e-07,4.38266e-12,6.35921e-05,0.00697927
42,316.357,249.865,219.779,4.40958e-07,0.746271,-0.746233,0.382337,12.7878,22.8673,3.74915e-10,5.01313e-17,2.58546e-06,1.00881e-16,1.06673e-11,3.93928e-12,5.16243e-13,4.33868e-07,1.55708e-08,1.83128e-09,2.81773e-14,3.11468e-14,3.99812e-10,1.84067e-07,6.10961e-12,7.3412e-05,0.00699499
43,274.983,257.091,222.521,4.40958e-07,0.835317,-0.835294,0.449269,14.3923,21.0969,5.78507e-10,7.24616e-17,2.74216e-06,2.17094e-16,1.28496e-11,5.04604e-12,6.44962e-13,4.26865e-07,1.67496e-08,1.90601e-09,3.29728e-14,2.76541e-14,3.13464e-10,1.73045e-07,8.37307e-12,8.54178e-05,0.0070168
44,239.019,264.464,225.381,4.40958e-07,0.933165,-0.933087,0.527076,16.1819,19.5158,8.90136e-10,1.04377e-16,2.87871e-06,4.61841e-16,1.53175e-11,6.34799e-12,7.84384e-13,4.19534e-07,1.79775e-08,1.95079e-09,3.78034e-14,2.33465e-14,2.3664e-10,1.6176e-07,1.12924e-11,0.000100017,0.00703869
45,207.759,271.987,228.348,4.40958e-07,1.04142,-1.04134,0.617822,18.1905,18.0044,1.36729e-09,1.49784e-16,2.99319e-06,9.75726e-16,1.81539e-11,7.87334e-12,9.32027e-13,4.11885e-07,1.92484e-08,1.96127e-09,4.24454e-14,1.87054e-14,1.72886e-10,1.50316e-07,1.50011e-11,0.000117753,0.00706011
46,180.587,279.669,231.404,4.40958e-07,1.1628,-1.16265,0.724215,20.4633,16.6127,2.09875e-09,2.14192e-16,3.08448e-06,2.05536e-15,2.14772e-11,9.65482e-12,1.08485e-12,4.03931e-07,2.05571e-08,1.9339e-09,4.66294e-14,1.41914e-14,1.22883e-10,1.38833e-07,1.96467e-11,0.000139361,0.00708107
